join_field,SHAPE_Leng,SHAPE_Area,ONS_ID,ONS_Name,ONS_Region,walkscore_mean
9102,7702.21022759,3547391.80134,3110,TREND-ARLINGTON,OTTAWA,24.13
9152,58734.0908728,154732041.548,3076,NAVAN - SARSFIELD,OTTAWA,4.46
9156,77575.9202979,300179607.779,3075,MUNSTER - ASHTON,OTTAWA,1.41
9072,15162.9475495,9600679.67444,3048,GLEN CAIRN,OTTAWA,32.71
9151,24969.709978,34260276.5599,3091,PORTOBELLO SOUTH,OTTAWA,34.43
9135,82565.1839758,274502052.247,3039,EDWARDS - CARLSBAD SPRINGS,OTTAWA,0.74
9131,8535.57323755,3843689.65445,3041,EMERALD WOODS - SAWMILL CREEK,OTTAWA,56.08
9154,10011.4403212,5426057.6819,3040,ELMVALE - CANTERBURY,OTTAWA,36.74
9067,13088.4743109,8180413.03639,3065,LEDBURY-HERON GATE-RIDGEMONT,OTTAWA,39.86
9081,7153.08129891,2560947.48274,3053,GREENBORO WEST,OTTAWA,53.98
9106,14554.5316304,9304080.05225,3030,COLONNADE BUSINESS PARK,OTTAWA,20.48314606741573
9126,97720.2010911,522814433.545,3071,MARLBOROUGH,OTTAWA,0.19
9139,11421.6092881,8216027.58211,3022,CARSON GROVE - CARSON MEADOWS,OTTAWA,24.84
9066,11079.2617719,7483070.9252,3035,CRESTVIEW-TANGLEWOOD,OTTAWA,24.71
9158,8818.47975261,4363108.08555,3089,PINEVIEW,OTTAWA,26.36
9112,28049.4067679,25738775.3831,3060,KANATA LAKES,OTTAWA,22.39
9105,13258.3345915,5915350.82209,3012,BORDEN FARM - FISHER GLEN,OTTAWA,26.23
9153,60814.298196,179630486.925,3113,VARS,OTTAWA,2.24
9147,13054.889105,6510823.61208,3010,BLACKBURN HAMLET,OTTAWA,33.32
9141,15825.790299,9532394.18236,3094,QUEENSWOOD - CHATELAINE,OTTAWA,27.6
9075,10740.3361666,6120739.79158,3047,GLEBE-DOWS LAKE,OTTAWA,48.85
9064,8575.28457718,3810750.00321,3058,IRIS,OTTAWA,33.26
9090,12280.5109041,7601595.32792,3024,CENTRETOWN,OTTAWA,68.97
9091,7813.12211994,1655912.55539,3064,LEBRETON DEVELOPMENT,OTTAWA,49.333333333333336
9104,20618.6642237,11866081.2417,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,24.51
9095,11032.601911,5013145.92419,3059,ISLAND PARK-WELLINGTON VILLAGE,OTTAWA,57.09
9100,9085.1381252,4587286.57269,3092,QUALICUM - REDWOOD,OTTAWA,31.13
9146,12377.4933553,8260034.32718,3025,CHAPEL HILL NORTH,OTTAWA,47.68
9101,7402.23819914,1852024.19994,3066,LESLIE PARK - BRUCE FARM,OTTAWA,22.5
9161,7384.74222781,1895362.41814,3019,CARLETON UNIVERSITY,OTTAWA,26.166666666666668
9113,24558.6877406,21356430.2475,3016,BROOKSIDE - BRIARBROOK - MORGANS GRANT,OTTAWA,19.53
9140,15881.1187481,11876971.2634,3032,CONVENT GLEN - ORLEANS WOODS,OTTAWA,37.6
9121,15050.8149623,10295840.2836,3097,RIDEAUCREST - DAVIDSON HEIGHTS,OTTAWA,43.4
9078,16062.137117,13384190.3228,3107,STITTSVILLE EAST,OTTAWA,5.79
9054,12139.3192262,5140928.58135,3099,RIVERSIDE PARK SOUTH - REVELSTOKE,OTTAWA,15.46
9132,12350.281244,9134764.08135,3011,BLOSSOM PARK - TIMBERMILL,OTTAWA,49.8
9047,14830.0718194,9210664.83458,3042,EXPERIMENTAL FARM,OTTAWA,31.75
9060,8102.0027635,3576186.52621,3111,VANIER NORTH,OTTAWA,70.01
9143,14898.1872059,11788688.591,3043,FALLINGBROOK,OTTAWA,31.79
9063,7587.22159192,2896005.75688,3093,QUEENSWAY TERRACE NORTH,OTTAWA,28.53
9094,9249.33013844,3469510.53024,3055,HINTONBURG-MECHANICSVILLE,OTTAWA,66.96
9114,82301.6377809,278450146.177,3038,DUNROBIN,OTTAWA,1.66
9127,88961.9281605,340653629.927,3074,MUNSTER - ASHTON,OTTAWA,8.29
9119,12208.1713156,6613665.9288,3027,CHAPMAN MILLS,OTTAWA,49.34
9068,17124.2057399,12717402.7015,3087,OVERBROOK,OTTAWA,44.89
9070,9267.03409108,1004756.47984,3088,PARKWOOD HILLS,OTTAWA,39.45454545454545
9136,12799.9701256,8663075.02284,3114,WATERRIDGE VILLAGE,OTTAWA,33.7032967032967
9086,14262.0230188,11126812.8973,3061,KATIMAVIK-HAZELDEAN,OTTAWA,38.84
9059,7170.01610294,2459354.84219,3112,VANIER SOUTH,OTTAWA,71.35
9061,13320.3549213,7714248.02181,3002,ALTA VISTA,OTTAWA,36.78
9087,8272.78739276,3074324.43149,3115,WEST CENTRETOWN,OTTAWA,62.77
9092,8782.64478349,3372277.04563,3077,NEW EDINBURGH,OTTAWA,58.97
9115,27708.6548181,28786917.45,3031,CONSTANCE BAY,OTTAWA,6.19
9088,6882.27528912,2464499.33204,3068,LOWERTOWN WEST,OTTAWA,58.43
9124,79857.7673015,327359223.493,3062,KINBURN,OTTAWA,0.6
9120,27297.972578,34208011.08,3109,STONEBRIDGE - HALF MOON BAY,OTTAWA,12.05
9097,12319.0428014,6425264.93392,3063,LAURENTIAN,OTTAWA,45.73
9053,11202.2894134,7088900.42627,3098,RIVERSIDE PARK - MOONEYS BAY,OTTAWA,25.17
9082,7232.45225086,3098945.7607,3052,GREENBORO EAST,OTTAWA,49.34
9138,10417.3834322,4621340.86101,3004,BEACON HILL SOUTH - CARDINAL HEIGHTS,OTTAWA,51.56
9137,13589.2296616,11650048.2895,3103,ROTHWELL HEIGHTS - BEACON HILL NORTH,OTTAWA,25.99
9056,12916.6096122,7364854.64546,3020,CARLINGTON,OTTAWA,48.08
9083,6624.01389164,2515389.13445,3054,HAWTHORN MEADOWS - SHEFFIELD GLEN,OTTAWA,62.04
9157,65145.2994289,217963364.938,3078,NORTH GOWER - KARS,OTTAWA,6.92
9159,109533.797501,159364627.077,3051,GREENBELT (WEST),OTTAWA,11.51
9080,6624.43497105,2500457.99771,3105,SOUTH KEYS,OTTAWA,68.48
9055,33029.4123062,47871705.2392,3100,RIVERSIDE SOUTH - LEITRIM,OTTAWA,22.68
9099,10326.9436002,6091844.82579,3023,CENTREPOINTE - BRIARGREEN,OTTAWA,21.68
9108,11742.881839,7126101.45969,3007,BELLS CORNERS EAST,OTTAWA,33.79
9122,94703.7572549,290278075.995,3021,CARP,OTTAWA,5.36
9051,11870.1545538,6204314.34452,3018,CARLETON HEIGHTS-COURTLAND PARK,OTTAWA,26.23
9128,54671.8378627,138217111.232,3049,GREELY,OTTAWA,11.9
9093,9905.94756276,4737481.67342,3104,SANDY HILL,OTTAWA,61.58
9065,9446.74718121,5080489.67618,3028,CITY VIEW,OTTAWA,37.84
9058,7910.3377194,3068579.30621,3029,CIVIC HOSPITAL,OTTAWA,51.62
9052,20018.7817205,16065416.8494,3081,OLD HUNT CLUB,OTTAWA,42.58
9150,23475.1367291,23889434.1196,3026,CHAPEL HILL SOUTH,OTTAWA,21.34
9076,8354.17900609,3286240.17212,3083,OLD OTTAWA SOUTH,OTTAWA,41.86
9134,97935.2285936,320927159.298,3086,OSGOODE - VERNON,OTTAWA,8.32
9111,10625.7338251,6077673.97969,3005,BEAVERBROOK,OTTAWA,28.96
9155,10126.5168114,3851586.34716,3090,PLAYFAIR PARK - GUILDWOOD ESTATES,OTTAWA,39.49
9046,8519.75240867,4169345.08587,3003,BAYSHORE,OTTAWA,35.54
9107,25307.5131585,11488902.8721,3036,CRYSTAL BAY - LAKEVIEW PARK,OTTAWA,10.48
9133,27678.3481797,33960886.2205,3044,FINDLAY CREEK,OTTAWA,30.13
9084,10078.5428004,5180864.37893,3102,ROCKCLIFFE PARK,OTTAWA,25.06
9073,22792.0590647,17323714.3023,3057,INDUSTRIAL EAST,OTTAWA,38.927536231884055
9071,9911.83064931,3962413.17648,3045,FISHER HEIGHTS,OTTAWA,38.49
9162,82349.2141946,326021978.08,3073,METCALFE,OTTAWA,4.52
9050,31833.9907038,40165441.4098,3001,AIRPORT,OTTAWA,12.765625
9109,7013.2422715,2436127.68187,3008,BELLS CORNERS WEST,OTTAWA,26.12
9079,21967.1411583,20890694.9788,3106,STITTSVILLE,OTTAWA,28.29
9145,4667.77231467,1019551.49266,3084,ORLEANS INDUSTRIAL,OTTAWA,55.083333333333336
9110,14960.2744011,13199596.8497,3014,BRIDLEWOOD - EMERALD MEADOWS,OTTAWA,18.45
9149,14224.9730858,8500519.54305,3095,QUEENSWOOD HEIGHTS,OTTAWA,42.39
9085,11394.1148711,4280058.78146,3069,MANOR PARK,OTTAWA,58.38
9123,70442.7617784,281430232.198,3033,CORKERY,OTTAWA,0.24
9062,14312.6320858,5677444.32977,3015,BRITANNIA,OTTAWA,27.77
9116,104146.522121,336164602.411,3046,FITZROY,OTTAWA,2.23
9057,11110.7631066,6463450.4895,3013,BRAEMAR PARK-BELAIR HEIGHTS-COPELAND PARK,OTTAWA,24.41
9048,13718.8587423,6665077.85199,3117,WHITEHAVEN - WOODPARK - GLABAR PARK,OTTAWA,33.38
9077,19095.0850935,17508791.8152,3108,STITTSVILLE NORTH,OTTAWA,31.63
9160,103706.764712,167672363.726,3050,GREENBELT (EAST),OTTAWA,10.08
9098,10355.7616643,3860384.54044,3082,OLD OTTAWA EAST,OTTAWA,47.97
9096,12236.7385106,6033345.57366,3116,WESTBORO,OTTAWA,57.23
9117,22081.365215,21973101.5829,3080,OLD BARRHAVEN WEST,OTTAWA,26.76
9049,62152.7333197,128784387.829,3070,MANOTICK,OTTAWA,17.69
9129,12096.8482884,5362342.51689,3009,BILLINGS BRIDGE - HERON PARK,OTTAWA,57.27
9118,13521.183368,10466326.9146,3079,OLD BARRHAVEN EAST,OTTAWA,53.99
9074,19325.7594751,16578122.6096,3101,RIVERVIEW,OTTAWA,29.85
9103,10164.0035705,5895817.24699,3034,CRAIG HENRY - MANORDALE,OTTAWA,21.04
9125,145.355316463,12.2197266957,3096,RICHMOND,OTTAWA,NA
9142,19392.2394767,19928004.4482,3017,CARDINAL CREEK,OTTAWA,29.6
9144,49738.6880572,131799429.388,3037,CUMBERLAND,OTTAWA,2.13
9089,6540.07055176,1895687.30642,3067,LOWERTOWN EAST,OTTAWA,71.44
9069,5311.6801232,1346502.27096,3006,BEECHWOOD CEMETERY,OTTAWA,63.4
9130,8304.55746415,3410509.88154,3056,HUNT CLUB PARK,OTTAWA,36.73
9148,12631.7511885,7327934.27712,3085,ORLEANS VILLAGE - CHATEAUNEUF,OTTAWA,55.73
