LAYER,GM_TYPE,PHH_ID,Type,Pop2016,TDwell2016,URDwell206,DBUID_Idid,HEXUID_IdU,Pruid_Prid,Latitude,Longitude,ONS_ID,ONS_Name,ONS_Region,status,walkscore,description,updated,snapped_lat,snapped_lon,bike.score,bike.description
4,Unknown Point Feature,1397168,4,73.8,37.3,36.3,35060588006,ON45340758,35,45.332499,-75.786671,3110,TREND-ARLINGTON,OTTAWA,1,24,Car-Dependent,2023-02-01 02:42:22.227979,45.333,-75.786,68,Bikeable
3,Unknown Point Feature,1397146,3,17.5,5.75,5.75,35060585001,ON45340758,35,45.328585,-75.789807,3110,TREND-ARLINGTON,OTTAWA,1,24,Car-Dependent,2023-02-01 02:40:48.620428,45.3285,-75.7905,72,Very Bikeable
4,Unknown Point Feature,1398329,4,22,8.75,8.75,35060624003,ON45340758,35,45.323357,-75.787441,3110,TREND-ARLINGTON,OTTAWA,1,27,Car-Dependent,2023-02-01 02:43:32.597869,45.324,-75.7875,71,Very Bikeable
4,Unknown Point Feature,1419691,4,12.75,4.25,4.25,35061288005,ON45340758,35,45.331472,-75.789013,3110,TREND-ARLINGTON,OTTAWA,1,21,Car-Dependent,2023-02-01 02:38:21.793660,45.3315,-75.789,64,Bikeable
4,Unknown Point Feature,1397113,4,10.6363636363636,3.54545454545455,3.54545454545455,35060582003,ON45340758,35,45.321246,-75.782817,3110,TREND-ARLINGTON,OTTAWA,1,29,Car-Dependent,2023-02-01 02:43:04.984925,45.321,-75.783,72,Very Bikeable
3,Unknown Point Feature,1419664,3,17.1818181818182,6.27272727272727,6,35061288001,ON45340758,35,45.331241,-75.788827,3110,TREND-ARLINGTON,OTTAWA,1,21,Car-Dependent,2023-02-01 02:38:21.793660,45.3315,-75.789,64,Bikeable
4,Unknown Point Feature,1398303,4,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.325397,-75.787348,3110,TREND-ARLINGTON,OTTAWA,1,32,Car-Dependent,2023-02-01 02:40:03.579910,45.3255,-75.7875,74,Very Bikeable
3,Unknown Point Feature,1420893,3,11.6875,4.1875,4.0625,35061323004,ON45340758,35,45.331604,-75.783289,3110,TREND-ARLINGTON,OTTAWA,1,35,Car-Dependent,2023-02-01 02:42:26.471493,45.3315,-75.783,79,Very Bikeable
3,Unknown Point Feature,1419659,3,17.1818181818182,6.27272727272727,6,35061288001,ON45340758,35,45.329515,-75.792643,3110,TREND-ARLINGTON,OTTAWA,1,18,Car-Dependent,2023-02-01 02:46:22.189468,45.33,-75.792,67,Bikeable
4,Unknown Point Feature,1398291,4,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.32604,-75.790036,3110,TREND-ARLINGTON,OTTAWA,1,25,Car-Dependent,2023-02-01 02:37:32.092506,45.3255,-75.7905,71,Very Bikeable
4,Unknown Point Feature,1397147,4,25,9.75,9.75,35060585002,ON45340758,35,45.327916,-75.787858,3110,TREND-ARLINGTON,OTTAWA,1,29,Car-Dependent,2023-02-01 02:37:18.879979,45.3285,-75.7875,70,Very Bikeable
3,Unknown Point Feature,1419669,3,17.1818181818182,6.27272727272727,6,35061288001,ON45340758,35,45.33129,-75.787486,3110,TREND-ARLINGTON,OTTAWA,1,22,Car-Dependent,2023-02-01 02:44:27.072315,45.3315,-75.7875,67,Bikeable
3,Unknown Point Feature,1398267,3,17.875,6.72916666666667,6.6875,35060623017,ON45340758,35,45.322097,-75.791183,3110,TREND-ARLINGTON,OTTAWA,1,17,Car-Dependent,2023-02-01 02:43:20.801876,45.3225,-75.7905,65,Bikeable
4,Unknown Point Feature,1419673,4,8.66666666666667,3.66666666666667,3.66666666666667,35061288002,ON45340758,35,45.330331,-75.792109,3110,TREND-ARLINGTON,OTTAWA,1,18,Car-Dependent,2023-02-01 02:46:22.189468,45.33,-75.792,67,Bikeable
3,Unknown Point Feature,1419660,3,17.1818181818182,6.27272727272727,6,35061288001,ON45340758,35,45.329834,-75.789523,3110,TREND-ARLINGTON,OTTAWA,1,24,Car-Dependent,2023-02-01 02:45:09.771235,45.33,-75.789,71,Very Bikeable
4,Unknown Point Feature,1419683,4,6.83333333333333,2.5,2.5,35061288004,ON45340758,35,45.331367,-75.795699,3110,TREND-ARLINGTON,OTTAWA,1,15,Car-Dependent,2023-02-01 02:45:11.782880,45.3315,-75.795,59,Bikeable
4,Unknown Point Feature,1397103,4,12.8,4.6,4.6,35060582001,ON45340758,35,45.324847,-75.784252,3110,TREND-ARLINGTON,OTTAWA,1,37,Car-Dependent,2023-02-01 02:41:08.814009,45.3255,-75.7845,79,Very Bikeable
4,Unknown Point Feature,1420902,4,34.5,12.3333333333333,12.3333333333333,35061323005,ON45340758,35,45.326064,-75.782787,3110,TREND-ARLINGTON,OTTAWA,1,39,Car-Dependent,2023-02-01 02:37:24.491131,45.3255,-75.783,82,Very Bikeable
4,Unknown Point Feature,1398340,4,22.6666666666667,10.4166666666667,10.25,35060624007,ON45340758,35,45.319119,-75.786619,3110,TREND-ARLINGTON,OTTAWA,1,20,Car-Dependent,2023-02-01 02:45:42.076798,45.3195,-75.786,64,Bikeable
4,Unknown Point Feature,1420877,4,23.25,9.25,9,35061323003,ON45340758,35,45.330317,-75.783578,3110,TREND-ARLINGTON,OTTAWA,1,27,Car-Dependent,2023-02-01 02:41:15.638382,45.33,-75.783,78,Very Bikeable
3,Unknown Point Feature,1398349,3,28.5,10.5,10.5,35060625001,ON45340758,35,45.327877,-75.794641,3110,TREND-ARLINGTON,OTTAWA,1,18,Car-Dependent,2023-02-01 02:46:36.244728,45.3285,-75.795,61,Bikeable
3,Unknown Point Feature,1419668,3,17.1818181818182,6.27272727272727,6,35061288001,ON45340758,35,45.330504,-75.790688,3110,TREND-ARLINGTON,OTTAWA,1,24,Car-Dependent,2023-02-01 02:37:21.736359,45.33,-75.7905,70,Very Bikeable
3,Unknown Point Feature,1397100,3,12.8,4.6,4.6,35060582001,ON45340758,35,45.324666,-75.78476,3110,TREND-ARLINGTON,OTTAWA,1,34,Car-Dependent,2023-02-01 02:39:55.766895,45.324,-75.7845,76,Very Bikeable
